cross,replicate,female_num,number_of_eggs,number_of_larvae
A,1,1,129,106
A,1,2,82,59
A,1,4,151,123
A,1,6,70,69
A,1,7,45,40
A,1,8,97,96
A,1,9,29,24
A,2,2,105,93
A,2,5,149,129
A,2,6,132,106
A,2,8,114,70
A,3,1,106,97
A,3,2,122,13
A,3,3,51,14
A,3,4,118,91
A,3,5,85,49
A,3,6,89,78
A,4,1,110,30
A,4,2,88,86
A,4,3,81,79
A,4,4,70,57
A,4,6,122,95
A,4,7,76,59
A,5,3,59,5
A,5,7,30,23
A,5,8,92,89
B,1,2,103,97
B,1,5,9,3
B,3,1,81,70
B,3,3,78,7
B,3,4,47,47
B,3,6,129,110
B,3,8,74,68
B,5,1,83,64
B,5,2,98,84
B,5,3,60,56
B,4,1,98,92
B,4,2,103,67
B,4,3,86,83
C,1,2,44,40
C,1,3,77,70
C,1,4,129,119
C,1,6,91,88
C,1,7,54,43
C,2,3,37,31
C,2,5,78,75
C,2,6,62,51
C,2,8,58,50
C,2,9,50,47
C,4,2,33,19
C,4,3,50,45
C,4,7,59,59
C,5,2,58,55
C,5,6,88,87
C,5,8,94,90
